,comment,label
0,"Great sturdy USB key ruined by U3. This is a great sturdy little USB key.Smooth edges will not scuff against clothes or anything else in your pocket.Handy keychain loop spaces out the USB key from the other stuff on your keychain, so it doesn't all bunch up and stick out.The USB connector is protected by a self-contained sheath, which slides easily, and sturdily locks into place when both fully retracted and fully exposed.As advertised, it's nearly uncrushable.  The case is made out of solid metal.  Only the sheath slider is plastic, and that's recessed, so it won't bear the weight of any crush.The USB key itself has a good speed when reading and writing data.The one, fatally bad, mistake that SanDisk made:U3!This piece of feculent malware infects all computers used with the USB key.  It stays around, even after the USB key has been removed.  It gets in the way of simply trying to use the USB key to hold data.  It's known to crash or lock up many computers.  It can't be formatted or deleted by normal means, as U3 appears to the computer as an additional drive letter that is strictly read-only.U3 can't be uninstalled unless fully installed in the first place, which means that it's easy to get stuck in limbo: neither fully installed, nor fully uninstalled, rendering the USB key unusable.  I wouldn't be surprised if they purposely make it difficult to uninstall.  Since U3 has the power to sneakily install software behind your back, whenever it is inserted, there's got to be a temptation for SanDisk to take some cash from a spammer or two.  Who wouldn't want the opportunity to silently install some spyware from an unsuspecting user's USB key?If you want to enjoy having a ""computer on a stick"", with applications and data entirely contained on the USB key, so you can always carry your favorite programs with you, you can get this right now, for free.  You don't need U3 at all.  It's at PortableApps.com -- enjoy!",1
1,didn't work for dell 700m. I bought one of these modules for my dell 700m. Installed it easily but once every few days my system crashes or I get a blue screen. I contacted kingston and they said that this module hasn't been tested on dell machines and is configured to work on generic computers only! I wouldn't recommend this memory for dell 700m users.,1
2,Acronis Disk Director 10.0. Works great for partitioning a hard drive but when it comes to adding another operating system. I've been pulling out my hair. The directions are vague and the customer service stinks. Everything is done with email and if you want to talk to someone it will cost you 29.99 for a one time occurance. Check it out at www.acronis.com . Look around before you buy. If I would have I would have never had bought this product.,1
3,"If you like choppy. The quality of the recording was very bad. Little squares showed up all the time and in dramatic scene changes the whole screen was transitioning little squares, like it could just not keep up with the speed. I would defintely not buy it again.",1
4,"Nice style, poor function. I love the way this product looked. It was slim and sexy. The reality was that it was a battery hog, the media pad was basically useless, there were frequent bluetooth disconnections, and I actually had to return it once because the keys stopped working (I am not a gorilla typist). I eventually gave up on it. I give it 2 stars b/c it was a nice design, but it just didn't deliver",1
5,"Didn't work at all. Maybe mine was broken, but I don't think so because I could see a red light at all the cable ends. I connected the splitter to my sound card, a TB Montego DDL, with a 1' cable and then tried both a 6' and 30' cable to my stereo. No signal whatever. Both the 6' and 30' cables delivered great clean signal when plugged directly into the sound card. I even used only the 6' and 30' cables in case the 1' was bad. Still no signal.I think you need to have either a very, very, strong signal from your source to use a passive splitter like this one, or use a powered splitter.",1
6,"Boo for the SC101. As a computer dork, I wanted to get a little storage device for my home network.  5 hours after I began the ""10 minute"" process of getting the SC101 up and running...  and all I had to show for it was a lot of frustration and no working ""microSan.""  If you are dead-set on getting one of these, please make sure to read the netgear support pages thoroughly first as the description on the box seems wildly different than what is actually supported by the device",1
7,"Memorex (Forget it) Dysfunctional Software. Reads as Audio file (from a fresh disk.)Windows Media Pops up when disk is first inserted. Huh?Mis reads memory (states disk has 1.99 GB's without even being used yet.) What?Does not function for Backup source (Windows Me) Why Me?Does not format ...What?No matter which Memorex you use none of them work. I tried 3 versions of DVD+RWDisk played DVD R's from Verbatim but spit Memorex out like tobacco.This company never ceases to amaze me with the mistakes in their products from CD's to DVD's . You want to know the most popular brand on the shelf? Start by seeing the brand that's missing the most. If the shelf is over-stocked with Memorex, then it's pretty obvious people aren't buying them for a reason. Say your prayers, or buy a tent and camp outside of the store. Waste of money",1
8,"An expensive disaster. I replaced 4 Novi units which had slowly failed over many years of use with 4 Reporters.  Attracted by the true wirless nature of the reporter, I was willing to spend the extra money over competitve brands.  Unfortunately the quality of the Reporter units is extremely poor as all four units failed after only a little ove one year of light use.  Failure modes ranged from no transmit on two units, no receive on one unit and completely dead on the fourth unit... all with new batteries and resetup per the instructions.  Don't waste your money",1
9,"Not worth it. As the title, it not worth the money at all even at such a low price. The picture quality is bad, very bad. I'd rather spend this money for other web-cam",1
