,comment,label
0,"false advertising. Although the &quot;technical data&quot; said this pot is safe for the stovetop, when it arrived, its own literature said very clearly that it is NOT safe for stovetop use. The only reason I ordered it was because I wanted something I could move from stovetop to oven or broiler. THis is very disappointing",1
1,Missing parts. Recived one filter not two as advertized.  I will not do transactions with this vender again,1
2,"Just say no. Amazing that in 2005 you can read review after review on Amazon about the poor quality of almost every toaster offered. We hoped this one would be an exception. It was, but only in that it may be the poorest of them all. Ours buzzed loudly whenever in use. Never had a toaster buzz before. We toast bread at least twice a day, and the toasting performance of this unit is horrible. It has no bagel setting (which toasts the cut side more than the crust side), so we ended up with one side burnt and the other barely starting to toast. What's more, it toasts completely unevenly. One corner of toast will be blackened while the far corner will barely be tanned. And it's really annoying when a 4-slice toaster does not allow you to operate the heating elements independently. As far as looks go, De'Longhi did just as bad a job. The photos look cool, but the crumb tray this unit ""sits"" upon is actually wider than the unit itself, so there is a big uneven gap at the seam. It's the lower line you see in the photos--but they make it look real nice for that! What you don't see is the other side of the toaster where the bottom crumb tray will be sticking out several MM from the side of the toaster rather than being flush as shown. This makes it look broken, like two pieces of something that no longer fit together. If De'Longhi had spent even a second thinking about this, they would have done the opposite: The bottom tray should be slightly smaller than the toasting unit, which would give the unit a seamless look rather than a busted look. (We even went to a store [yes, a real store] to confirm that they are all like this, and they are.) Also, the bread warming rack is another poorly designed element. There are 4 tiny plastic feet inserted into the four metal posts of the rack so it doesn't scratch the metal surface of the toaster. However, two of the feet had already fallen out during shipping, and though they slipped right back in, all four of the tiny feet can easily be removed or fall out (only friction holds them in) and you WILL loose them very quickly--especially if you ever wash the rack. We're happy to pay extra for a quality item--even a toaster--but we expect something in return besides utter dissapointment. Final advice: Stick to the $20 toasters with functions such as bagel, defrost, and dual controls. If it's ugly, keep it under the sink and only take it out when you use it. This one looks broken, performs poorly, and costs a lot of money. If you do buy this model, maybe you'll get ours...we returned it",1
3,Pike Street Flannel Queen Sheet Set. Nice and soft but boy oh boy do they loose a lot in the wash. I think if I wash these about 12 times they will disappear,1
4,"Garbage,  Absolute Garbage. I'd think if I were Dyson, I would recall all of these.Big, Bulky Pricey, and worthless. I thought turbines were designed to spin?It certainly does not compare to the vacuum at all.Bought a real one for $17 (shiping included) Eureka Power Paw, Dyson should be ashamed",1
5,"better stay away. Bad quality, on/off switch and plastic ring broken after 1 year.",1
6,lousy. the electric skillet takes forever to heat up and it does not heat in the corners also it takes longer to cook than an electric  frying pan I would not recommend this product.  thank yo,1
7,a poor design. i am very disappointed with this humidifier and its filter. it consumes about 1 filter per month and if you keep the humidifier off for more than 2 days the filter dries up and you might as well throw it away,1
8,"Not so safe... I bought six of these collars for my five cats. (I bought an extra just in case one of the cats lost one.) I thought the colors were great, and I was happy with the idea of the material, as opposed to cheap vynil. They do look fashionable, I think, and are discreet enough to not take away from the beauty of the cat itself. However, these collars are NOT ""breakaway"" collars. They enlarge if they get caught on something, but this actually only adds its own problems. Several times my cats came home with one leg through the collar (and the collar extended as far as possible). I hated to think what would have happened if the cat had gotten the collar caught on something AFTER getting the leg stuck. One cat finally did come home without his, and I didn't replace it. Another came home with the collar around her chest (both front legs had gone through), and it was constricting her. I pulled to try to get it off, but it was obviously very painful, and in the end the only solution was for me to cut it off. I decided these collars are not very safe after all--too bad I bought six at once (the reviews at the time were pretty good, generally). I've taken them all off, and now my daughters can play with them on their stuffed animals. They look do look cute! I just don't trust them on live animals.",1
9,"Very Poor Quality Vacuum. This vacuum worked for about 2-minutes before the brushes stop turning.  I took this to a authorized Hoover vacuum dealer to look at. After finding the problem was some bent pole that supported the brushes to work, they contacted Hoover only to find out there is a recall out for this vacuum cleaner model and the part was not available yet for the repair.  So after purchasing this vacuum on February 1st, 2007, the vacuum is still at the repair shop 1-month later.  Part is still not available. Stay away from purchasing this vacuum.  I only kept it since Amazon.com charges you a re-stocking fee on open merchandise.Lyle....St.Louis, M",1
10,"Grrrr, this thing sucks!. So, this clock woke me up alright!  The snooze didn't work, and then I couldn't turn it off!  I had to rip the batteries out of it to get it to stop...It is very cheaply made (explains the price I guess), but yeah it works just fine as long as you don't need to use the snooze ever",1
11,"Filters OK, MyPod not. The filters fit and do what they are designed to do, thought a little costly for what you get.  Unfortunately, the MyPod that they fit just doesn't do anything but make a colored water drink that doesn't come close to EcoPod or the standard pods for the coffee machine",1
12,"Great Grater, and then... This thing worked like a champ, impressed friends, and lasted all of 6 months...and then, the plastic screw that attaches the handle to the grating drum snapped.  Cheap, Cheap, Cheap! and at $20/per...definately not considered disposable!  Look elsewhere.  The Zyliss will be my next purchase and I will leave feedback.",1
13,"Nice idea, but that's all. The dispenser is in the kitchen and it dispenses soap sporadically for no apparent reason.  This happens frequently during the day and night.  It happens whether someone is in the kitchen or not.  It makes a noise when the soap is being dispensed so we can hear it from the next room.  I had to put a small bowl in front of the dispenser to catch the soap, which defeats the purpose",1
14,"Don't buy it if you are intended to protect disks, CDs, tapes and Videos. I have just purchased this chest. The first thing I read from the packing box was this product is not intended to protect computer disks, CDs, tapes, videos. This was not mentioned at all in product description on 3 to 4 website that I checked before I decided to buy it. I was more than disappointed. I feel that the seller was evasive...",1
